SMILES,FRAGMENTS
CN(C)S(=O)(=O)C1=CC=C(N)C=C1,156.0113:108.0444:92.0495;92.0497:108.0447:156.0119|92.0497:108.0446:110.0603|156.0118:108.0447:92.0497|156.0118:108.0447:92.0497
OC1=C2N=NNC2=CC=C1,136.0505:80.0494:108.0444|136.0505:80.0494:108.0443|136.0505:80.0494:108.0444|136.0506:80.0494:53.0386|80.0494:136.0506:53.0386|80.0494:136.0506:53.0386|53.0386:80.0494:63.0229|53.0386:63.0229:80.0495|63.0229:53.0386:62.0151;80.0487:136.0501:63.0221;136.0509:80.0497:108.0448|136.051:80.0497:81.0337|80.0497:136.0511:108.0445|80.0497:108.0445
COC1=CC=C(\C=C\C(O)=O)C=C1,161.0597:133.0648:118.0413
CC1=CC(=O)OC2=CC=CC=C12,161.0598:133.0649:118.0414
CC1=CC=C2NN=NC2=C1,134.0715:135.0746|134.0713:135.0742;134.0713:79.0543:106.0651;134.0712:79.0542:106.0651;134.0713:106.0651:79.0542|134.0714|134.0713:77.0386:79.0543|134.0715:106.0653:79.0543|134.0713:79.0543:106.0652|134.0714:79.0543:77.0386|134.0713:77.0386:79.0542|134.0713:79.0544|134.0714:106.0651:79.0544|134.0714:106.0651:79.0542|134.0713:79.0543:106.0652|134.0713:79.0543:77.0386|134.0713:77.0386:79.0543|134.0713:106.0652:79.0542;134.0713:79.0543:77.0386|77.0387:79.0543:134.0712|77.0387:51.0227:53.0385
CCOC1=CC=C2N=C(S)SC2=C1,212.0199:183.9887:151.0087
OC1=CC=C2C=CC=CC2=C1N=NC1=CC=C(C=C1)S(O)(=O)=O,329.0593:156.0444:128.0495
COC1=CC(O)=C(C=C1S(O)(=O)=O)C(=O)C1=CC=CC=C1,230.9959:309.0429:135.0077
CCN(CC)C(=O)C1=CC(C)=CC=C1,192.1379:193.1411:119.0484|119.0486:192.1379:193.1411|119.0485:120.0515:192.1374|119.0485:118.0645:120.0513;119.0491:192.1383:100.0757;119.0494:192.1387:100.0758|192.1385:119.0486|192.1386:119.0492:72.0444|119.0492:192.1385:100.0757|119.0493:192.1377:91.0543|119.0492:91.0543:119.0605|91.0543:119.0493:119.0605|192.1385:119.0491:176.1072|192.1384:119.0492:100.0757|119.0493:192.1385:72.0444|119.0492:192.1384:91.0543|119.0492:91.0543:119.0604|91.0543:119.0492:119.0604|119.0492:192.1383:100.0757;192.1385:119.0491:91.0542|119.0491:91.0543:72.0446|91.0542:65.0388:44.0128;119.0494:192.1389:91.0545|119.0494:91.0544:109.0651|119.0494:192.1388:100.076|119.0494:100.076:91.0545|77.0386:105.0446:95.049|77.0386:105.0446:95.049|77.0386:105.0447|77.0386:105.0448
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,149.0234:205.0861:57.0701;149.0235:205.0862:57.0699|149.0234:57.0699:65.0385|149.0235:57.0699:121.0285|149.0235:121.0285:57.0699|149.0235:121.0285:65.0386|65.0386:149.0235:121.0286|65.0386:121.0398:121.0285|65.0386:53.0023:121.0398|65.0387:53.0023:53.9975;149.0238:121.029|149.0239:121.0288|149.0239:205.0867:203.06|149.0238:205.0867:203.0598
