SMILES,CAS_RN,DTXSID,FRAGMENTS,All,chlorinated,frag_list,n_fragments
CCC[C@@H]1C[C@H](N(C1)C)C(=O)NC([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)C(C)Cl,CAS_RN: 18323-44-9,,377.1834:126.1275:389.21|425.187:126.1273|126.1278:425.1869:377.1837|126.1277|126.1278:70.0652:82.0651|126.1277:70.0651:83.0729|126.1278:70.0652:83.0729|425.1871:126.1275:377.1844|126.1277:425.1869:377.1835|126.1277:335.1738:353.1051|126.1278:70.0651:83.0729|126.1278:70.0651:83.073|126.1277:70.0651:83.0729|377.1841:126.1277:389.2102,0,1,"[70.0651, 70.0652, 82.0651, 83.0729, 83.073, 126.1273, 126.1275, 126.1277, 126.1278, 335.1738, 353.1051, 377.1834, 377.1835, 377.1837, 377.1841, 377.1844, 389.21, 389.2102, 425.1869, 425.187, 425.1871]",21
CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,CAS_RN: 196618-13-0,DTXSID9044291,225.1234:313.2125:208.0967|166.0854:208.0961:225.1231|166.0853:120.0437:137.0699|166.0851:120.0435:138.0536|120.0435:138.0541:137.0698;225.1236:208.097:296.1857|225.1235:313.2127:166.0865|166.0864:208.0969:120.0444|166.0864:120.0445:137.071|120.0444:166.0863:94.0652|120.0444:94.0651:138.055|120.0445:94.0652:92.0496|225.1236:313.2123:166.0864|166.0864:208.097:120.0445|166.0864:120.0445:137.071|120.0445:166.0864:94.0652|120.0444:94.0652:92.0495|120.0444:94.0652:92.0495|225.1235:208.097:166.0863,0,0,"[92.0495, 92.0496, 94.0651, 94.0652, 120.0435, 120.0437, 120.0444, 120.0445, 137.0698, 137.0699, 137.071, 138.0536, 138.0541, 138.055, 166.0851, 166.0853, 166.0854, 166.0863, 166.0864, 166.0865, 208.0961, 208.0967, 208.0969, 208.097, 225.1231, 225.1234, 225.1235, 225.1236, 296.1857, 313.2123, 313.2125, 313.2127]",32
CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)O,CAS_RN: 187227-45-8,DTXSID50171996,197.0909:285.18:215.1015|138.0544:180.0646:198.0756|138.0543:120.0432:137.0698|138.0541:120.0441:137.0702|120.0433:138.0556:137.0696;197.0924:215.1028:268.1545|197.0923:285.181:215.1027|138.0551:197.0921:180.0656|138.0551:94.0652:120.0444|138.0551:94.0653:120.0446|94.0652:120.0444:138.055|94.0652:120.0445:92.0495|197.0924:285.1812:215.1028|138.0551:197.0922:180.0656|138.0551:94.0652:120.0445|138.0551:94.0652:120.0445|94.0652:120.0445:138.055|94.0652:120.0445:92.0495|197.0923:215.1029:268.1545,0,0,"[92.0495, 94.0652, 94.0653, 120.0432, 120.0433, 120.0441, 120.0444, 120.0445, 120.0446, 137.0696, 137.0698, 137.0702, 138.0541, 138.0543, 138.0544, 138.055, 138.0551, 138.0556, 180.0646, 180.0656, 197.0909, 197.0921, 197.0922, 197.0923, 197.0924, 198.0756, 215.1015, 215.1027, 215.1028, 215.1029, 268.1545, 285.18, 285.181, 285.1812]",34
CC2(C)c1cc3C(=O)OCC(C)c3cc1C(C)(C)C2C,CAS_RN: 256393-37-0,DTXSID10881089,273.1842:259.1898:271.1893|273.1839:255.173:256.1773|255.1732:240.1497:256.1769|225.1262:212.1555:197.1312|197.1308:225.1279:129.0694;255.1747:175.1117:203.1066|273.1852:197.1329:212.1562|273.185:255.1741:175.1117|255.1742:273.1845:240.1506|255.1742:240.1509:225.1273|225.1273:212.1559:197.1324|197.1325:225.1274:129.0699|273.185:255.1746:157.101|273.185:255.1742:197.1333|255.1744:273.1846:240.1507|255.1742:240.1507:225.1272|225.1273:212.1559:197.1324|197.1326:225.1274:129.0699|255.1745:175.1118:227.1793,0,0,"[129.0694, 129.0699, 157.101, 175.1117, 175.1118, 197.1308, 197.1312, 197.1324, 197.1325, 197.1326, 197.1329, 197.1333, 203.1066, 212.1555, 212.1559, 212.1562, 225.1262, 225.1272, 225.1273, 225.1274, 225.1279, 227.1793, 240.1497, 240.1506, 240.1507, 240.1509, 255.173, 255.1732, 255.1741, 255.1742, 255.1744, 255.1745, 255.1746, 255.1747, 256.1769, 256.1773, 259.1898, 271.1893, 273.1839, 273.1842, 273.1845, 273.1846, 273.185, 273.1852]",44
CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,CAS_RN: 107868-30-4,DTXSID5023037,297.1869:298.1901:279.1757|149.0965:279.176:297.1863|149.0957:121.0646:147.0802|121.0647:149.096:147.0804|121.0649:128.062:115.0542;279.1744:149.0961:185.096|297.1854:279.1746:149.0963|297.1848:149.0961:279.1743|121.1012:149.0961:93.0699|93.0699:121.0649:121.1012|93.0698:121.0647:105.0698|91.0542:105.0699:79.0542|297.185:279.174:149.0959|297.1848:149.0961:279.1743|149.096:121.1011:93.0699|93.0699:121.0648:121.1011|93.0699:121.0648:105.0699|91.0542:79.0542:93.0699|279.1743:149.096:185.0959,0,0,"[79.0542, 91.0542, 93.0698, 93.0699, 105.0698, 105.0699, 115.0542, 121.0646, 121.0647, 121.0648, 121.0649, 121.1011, 121.1012, 128.062, 147.0802, 147.0804, 149.0957, 149.0959, 149.096, 149.0961, 149.0963, 149.0965, 185.0959, 185.096, 279.174, 279.1743, 279.1744, 279.1746, 279.1757, 279.176, 297.1848, 297.185, 297.1854, 297.1863, 297.1869, 298.1901]",36
Fc1ccc(cc1)N(C(C)C)C(=O)CS(O)(=O)=O,CAS_RN: NA,DTXSID60891451,276.069:234.0226:277.0722|234.0224:216.0122:235.0253|135.0465:216.0107:124.0542|135.0469:124.0555:112.0553;234.0233:112.0556:216.0122|276.0703:234.0231:216.0126|234.023:112.0557:276.0699|112.0558:216.0124:234.0232|112.0557:124.0557:135.0478|112.0558:124.0557:135.048|112.0557:135.0479:124.0557|276.07:234.023:216.0128|234.0231:112.0557:276.07|112.0557:216.0125:234.023|112.0558:124.0557:135.0479|112.0557:135.0479:124.0557|112.0557:135.0478:124.0556|234.023,0,0,"[112.0553, 112.0556, 112.0557, 112.0558, 124.0542, 124.0555, 124.0556, 124.0557, 135.0465, 135.0469, 135.0478, 135.0479, 135.048, 216.0107, 216.0122, 216.0124, 216.0125, 216.0126, 216.0128, 234.0224, 234.0226, 234.023, 234.0231, 234.0232, 234.0233, 235.0253, 276.069, 276.0699, 276.07, 276.0703, 277.0722]",31
Fc1ccc(cc1)N(C(C)C)C(=O)C(O)=O,CAS_RN: 201668-31-7,DTXSID2037552,184.0397:180.0806:138.0339|138.0338:165.0539:184.0384;180.0822:184.0405:138.0351|226.0874:138.035:184.0405|138.0351:110.0401:184.0406|138.035:110.0401:184.0404|110.0401:138.0351:83.0292|110.0401:138.035:123.0353|110.04:83.0291:123.0353|226.0874:138.035:180.082|138.035:110.0401:184.0405|138.035:110.0401:184.0405|110.04:138.035:122.04|110.0401:138.035:123.0354|110.0401:83.0292:123.0353|180.0822:184.0405:138.0351,0,0,"[83.0291, 83.0292, 110.04, 110.0401, 122.04, 123.0353, 123.0354, 138.0338, 138.0339, 138.035, 138.0351, 165.0539, 180.0806, 180.082, 180.0822, 184.0384, 184.0397, 184.0404, 184.0405, 184.0406, 226.0874]",21
O=S(=O)(O)CC(=O)N(c1ccccc1)C(C)C,CAS_RN: 123732-85-4,DTXSID20891452,258.0791:216.0318:217.0345|216.0316:198.021:136.0744|256.1102:198.0217:117.0579;216.0326:198.0222:94.065|258.0798:216.0327:94.065|216.0328:258.0796:94.0653|94.0653:216.0324:198.0221|94.0652:106.0651:117.0573|94.0652:106.0652:117.0573|94.0651:106.0651:117.0573|258.0796:216.0326:94.0655|216.0326:94.0651:258.0793|94.0652:216.0324:198.0219|94.0652:106.0651:117.0573|94.0651:106.0651:117.0572|94.0652:106.0651:117.0573|216.0325:198.0219:94.0649,0,0,"[94.0649, 94.065, 94.0651, 94.0652, 94.0653, 94.0655, 106.0651, 106.0652, 117.0572, 117.0573, 117.0579, 136.0744, 198.021, 198.0217, 198.0219, 198.0221, 198.0222, 216.0316, 216.0318, 216.0324, 216.0325, 216.0326, 216.0327, 216.0328, 217.0345, 256.1102, 258.0791, 258.0793, 258.0796, 258.0798]",30
CC(C)N(C(=O)C(O)=O)c1ccccc1,CAS_RN: 70628-36-3,DTXSID8037592,166.0488:162.09:120.0438|120.0438:164.0925:121.0469|164.0928:120.0442:150.0762|164.0929:120.0429:150.076|137.0812;162.0916:166.0501:120.0445|120.0444:208.0967:166.0498|120.0444:92.0495:166.0498|120.0444:92.0495:77.0386|120.0443:92.0494:77.0385|92.0495:120.0444:77.0386|92.0494:77.0385:105.0447|120.0444:208.0967:166.0498|120.0444:92.0495:166.0498|120.0444:92.0495:77.0385|120.0443:92.0494:77.0385|92.0494:120.0444:77.0386|77.0385:92.0494:105.0446|162.0913:166.0498:120.0443,0,0,"[77.0385, 77.0386, 92.0494, 92.0495, 105.0446, 105.0447, 120.0429, 120.0438, 120.0442, 120.0443, 120.0444, 120.0445, 121.0469, 137.0812, 150.076, 150.0762, 162.09, 162.0913, 162.0916, 164.0925, 164.0928, 164.0929, 166.0488, 166.0498, 166.0501, 208.0967]",26
c1(nc(nc(n1)OC)NCC)NCC,CAS_RN: 673-04-1,DTXSID9042388,198.1352:114.0663:170.1038|198.1352|198.1351:124.087:170.1039|198.1351:124.087:128.0819|198.1349:128.0819:124.0869|100.0506:128.0819:68.0243|100.0506:68.0243:96.0556|198.135:183.1115|198.135:124.087:114.0663|198.135:128.0819:124.087|198.135:128.0819:124.087|100.0506:128.0819:68.0243|100.0506:68.0243:96.0556|198.135:114.0662:170.1037,0,0,"[68.0243, 96.0556, 100.0506, 114.0662, 114.0663, 124.0869, 124.087, 128.0819, 170.1037, 170.1038, 170.1039, 183.1115, 198.1349, 198.135, 198.1351, 198.1352]",16
Oc1nc(NCC)nc(NCC)n1,CAS_RN: 255613,DTXSID6062547,184.1189:185.1215:114.0655|184.1186:114.0658:185.1215|184.1186:114.0659:156.0868|114.065:128.0553:184.1184;114.0662:156.088:184.1194|184.1193|184.1193:114.0662:97.0393|184.1194:114.0662:97.0398|114.0662:184.1193:69.0084|114.0662:69.0084:97.0397|69.0083:114.0661:97.0396|184.1194|184.1193:114.0662:156.088|184.1192:114.0661:97.0396|114.0662:184.1193:69.0084|114.0662:69.0084:97.0396|69.0083:114.0661:97.0396|114.0661:156.0879:97.0396,0,0,"[69.0083, 69.0084, 97.0393, 97.0396, 97.0397, 97.0398, 114.065, 114.0655, 114.0658, 114.0659, 114.0661, 114.0662, 128.0553, 156.0868, 156.0879, 156.088, 184.1184, 184.1186, 184.1189, 184.1192, 184.1193, 184.1194, 185.1215]",23
c1(nc(nc(n1)OC)NCC)NC(CC)C,CAS_RN: 26259-45-0,DTXSID8037594,170.1039:114.0662:142.0724|226.1664|226.1666:170.1038:96.0559|226.1662:170.1038:100.0505|170.1037:226.1665:100.0506|170.1038:100.0506:142.0724|100.0505:68.0243:69.0084|226.1665:173.1143|226.1664:170.1037:100.0505|226.1665:170.1039:100.0506|170.1038:226.1665:100.0506|170.1034:100.0505:142.0723|100.0505:68.0243:69.0084|170.1037:114.0662:226.1664,0,0,"[68.0243, 69.0084, 96.0559, 100.0505, 100.0506, 114.0662, 142.0723, 142.0724, 170.1034, 170.1037, 170.1038, 170.1039, 173.1143, 226.1662, 226.1664, 226.1665, 226.1666]",17
n1c(nc(Cl)nc1NCC)NC(CC)C,CAS_RN: 7286-69-3,DTXSID7058171,174.0541:96.0555:104.001|230.1167:174.0538|230.1168:174.0541:104.0014|174.054:230.1166:104.0009|174.054:132.0323:146.0227|104.001:174.054:68.0243|104.001:68.0243:96.0556|230.1167:174.0536|230.1167:174.0541|174.0541:230.1165:146.0227|174.054:146.0227:132.0323|104.001:174.054:68.0243|104.0009:68.0243:79.0057|174.0541:188.0696:104.001,0,1,"[68.0243, 79.0057, 96.0555, 96.0556, 104.0009, 104.001, 104.0014, 132.0323, 146.0227, 174.0536, 174.0538, 174.054, 174.0541, 188.0696, 230.1165, 230.1166, 230.1167, 230.1168]",18
Nc1nc(NC(C)(C)C)nc(Cl)n1,CAS_RN: 30125-63-4,DTXSID80184211,202.0853:132.0323:124.0869;146.0229:202.0859|202.0856:146.0231|202.0856:146.0229:79.0061|146.023:202.0848:79.0059|146.0229:104.001:79.0058|146.0229:104.0011:79.0059|146.023:104.0012:79.0059|202.0855:146.0229:68.0246|202.0856:146.023:79.0058|146.0229:202.0853:79.0058|146.0229:104.001:79.0058|146.023:104.0011:79.0059|146.023:104.0011:79.0059|146.023;202.0852:132.0322:124.0868|104.0009:96.0555:132.0322|202.0852:124.0868:132.0322|124.0868:132.0322:174.0539,0,1,"[68.0246, 79.0058, 79.0059, 79.0061, 96.0555, 104.0009, 104.001, 104.0011, 104.0012, 124.0868, 124.0869, 132.0322, 132.0323, 146.0229, 146.023, 146.0231, 174.0539, 202.0848, 202.0852, 202.0853, 202.0855, 202.0856, 202.0859]",23
